County; Name; Address; Phone Number; Hours; Appointment type; Website Name; Website URL; Date Verified 
Wake; UNC Rex HealthCare; 123 Street Raleigh, NC 27606; 984-215-5485; 9am-5pm; Walk In; UNCHealthcare; https://www.unchealthcare.org/coronavirus/vaccines/phase-1b-covid-19-vaccine; 2/15/2021
Craven; Walgreens; 2001 Neuse Blvd., New Bern, NC 28560; 252-672-8365; 8am-10pm Mon-Sun; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/topic/promotion/covid-vaccine.jsp; 3/13/2021
Craven; Walgreens; 101 W. Main St., Havelock, NC 28532; 252-447-6303; 8am-10pm Mon-Fri and 9am-9pm Sat-Sun; Appointmet required, can schedule online; Walgreens; https://www.walgreens.com/topic/promotion/covid-vaccine.jsp; 3/13/2021
Craven; Goshen Medical Center; 4114 Dr. M.L.K. Blvd. Jr., New Bern, NC 28562; 252-772-9995; 8am-5:30pm Mon-Thurs and 8am-2pm Fri; Appointment required; Goshen Medical Center; http://www.goshenmedical.org/new-bern.html; 3/13/2021
Onslow; Walgreens; 359 Western Blvd., Jacksonville, NC 28546; 910-355-7056; 8am-10pm Mon-Fri; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/topic/promotion/covid-vaccine.jsp; 3/13/2021
Onslow; Walgreens; 1600 Gum Branch Rd., Jacksonville, NC 28540; 910-478-4949; 8am-8pm Mon-Fri, 9am-6pm Sat, 10am-6pm Sun; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/topic/promotion/covid-vaccine.jsp; 3/13/2021
Onslow; Goshen Medical Center; 1200 Hargett St., Jacksonville, NC 28540; 910-219-1082; 7:45am-5:15pm Mon-Thurs, 8am-2pm Fri; Appointment required; Goshen Medical Center; http://www.goshenmedical.org/jacksonville.html; 3/13/2021
Wake; PNC Arena; 1400 Edwards Mill Rd, Raleigh, NC 27607; 919-250-1515; Unknown Hours; Scheduled with https://myspot.nc.gov/; MySpotNC; https://myspot.nc.gov/; 03/14/2021
Wake; Neighborhealth Lake Boone Trail; 4201 Lake Boone Trail, Suite 5, Raleigh, NC 27607; 984-222-8000; Unknown Hours; Call for appointment; Neighbor Health Center; https://neighborhealthcenter.org/; 03/14/2021
Wake; Walgreens; 1900 Cameron St, Raleigh, NC 27605; (919) 833-5523; Unknown Hours; Online Scheduling; Walgreens; https://www.walgreens.com/findcare/vaccination/covid-19; 03/14/2021
Gaston; Walgreens; 2465 S New Hope Rd, Gastonia, NC 28054; 7048109912; 8am-10pm; Appointment required; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Gaston; Walgreens; 2500 E Franklin Blvd, Gastonia, NC 28056; 7048672474;  8am-11pm; Appointment required; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Gaston; Walgreens; 6802 Wilkinson Blvd, Belmont, NC 28012; 7048295681; 7am-11pm; Appointment required; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Stanley; Walgreens; 205 Salisbury Ave, Albemarle, NC 28001; 7049821145;  8am-10pm; Appointment required; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/20
Stanley; Walgreens; 840 NC-24, Albemarle, NC 28001; 7049822301; 8am-10pm; Appointment required; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Stanley; Walgreens; 4305 NC-49 South, Harrisburg, NC 28075; 7044545920; 8am-10pm; Appointment required; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Mecklenburg; Walgreens; 12830 S. Tryon St., Charlotte, NC 28273; 704-583-9736; 9am-8pm Mon-Fri, 9am-6pm Sat, 10am-6pm Sun; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Mecklenburg; Walgreens; 9428 Steelecreek Rd., Charlotte, NC, 28273; 980-233-9960; 9am-8pm Mon-Fri, 9am-6pm Sat, 10am-6pm Sun; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Mecklenburg; Charlotte Community Health; 5301 Wilkinson Blvd., Charlotte, NC 28208; 704-316-6561; 8am-5pm Mon and Wed; Appointment required; Charlotte Community Health; https://charlottecommunityhealth.org/; 3/13/2021
Union; Walgreens; 1993 Dickerson Blvd., Monroe, NC 28110; 704-296-5080; 9am-8pm Mon-Fri, 9am-6pm Sat, 10am-6pm Sun; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Union; Walgreens; 1208 Skyway Drive, Monroe, NC 28110; 704-289-2501; 9am-8pm Mon-Fri, 9am-6pm Sat, 10am-6pm Sun; Appointment required, can schedule online; Walgreens; https://www.walgreens.com/findcare/covid19/testing; 3/13/2021
Union; Union County Division of Public Health; 2330 Concord Ave., Monroe, NC 28110; 8am-5pm Mon-Fri; Appointment required, can schedule online; Union County Division of Public Health; https://www.unioncountync.gov/departments/health-services; 3/13/2021
